entity_id,canonical_name,pan,city,state,pincode,source_system_count,resolution_quality,sample_decision_reason
ENT-0030,Sunrise Industries Pvt Ltd,AGPRU3897U,Hyderabad,TS,,5,1.0,Exact PAN match
ENT-0031,Stellar Solutions Pvt Ltd,AHIIG3852U,Delhi,DL,,3,1.0,Exact PAN match
ENT-0032,Stellar Solutions Pvt Ltd,AHUYO9370G,Chennai,TN,,5,1.0,Exact PAN match
ENT-0033,Pioneer Solutions Limited,AIHTC6863I,Chennai,TN,,7,0.9714285714285714,Exact PAN match
ENT-0034,Pioneer Corp Pvt Ltd,AINLV2347H,Chennai,TN,,4,1.0,Exact PAN match
ENT-0035,Apex Solutions LLP,AIRCB3028S,Mumbai,MH,,7,0.9714285714285714,Exact PAN match
ENT-0036,Sunrise Technologies LLP,AJJWK6497G,Ahmedabad,GJ,,9,0.9666666666666666,Exact PAN match
ENT-0037,Metro Corp LLP,AJRBA7986L,Pune,MH,,6,0.9833333333333334,Exact PAN match
ENT-0038,Pioneer Logistics Limited,AJYAL3406R,Chennai,TN,,8,0.975,Exact PAN match
ENT-0039,Tech Solutions LLP,AKACF3585O,Hyderabad,TS,,7,0.9714285714285714,Exact PAN match
ENT-0040,Acme Traders LLP,AKEUL2725E,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0041,Apex Logistics Pvt Ltd,AKEWX9802B,Bengaluru,KA,,3,1.0,Exact PAN match
ENT-0042,Sunrise Logistics LLP,AKMGN5472I,Bengaluru,KA,,7,0.9714285714285714,Exact PAN match
ENT-0043,Om Corp LLP,AKNPY6090K,Bengaluru,KA,,6,0.9666666666666667,Exact PAN match
ENT-0044,Tech Technologies LLP,AKQYQ7883U,Hyderabad,TS,,8,0.975,Exact PAN match
ENT-0045,Shree Industries Pvt Ltd,AKXMW0449B,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0046,Om Traders LLP,ALGFW1930M,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0047,Shree Ventures Pvt Ltd,ALKPG4702S,Hyderabad,TS,,3,1.0,Exact PAN match
ENT-0048,Pioneer Logistics LLP,ALPGO0532H,Ahmedabad,GJ,,8,0.975,Exact PAN match
ENT-0049,Global Solutions Pvt Ltd,ALRVT1911J,Chennai,TN,,5,1.0,Exact PAN match
ENT-0050,Tech Corp Pvt Ltd,ALSZW5941A,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0051,Tech Corp Limited,AMDYR8409C,Pune,MH,,7,0.9571428571428572,Exact PAN match
ENT-0052,Shree Logistics Pvt Ltd,ANBOM7048U,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0053,Balaji Enterprises LLP,ANLDD4797G,Chennai,TN,,8,0.9625,Exact PAN match
ENT-0054,Metro Corp Pvt Ltd,ANONE8697C,Pune,MH,,5,1.0,Exact PAN match
ENT-0055,Stellar Corp Pvt Ltd,ANONP3560B,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0056,Dynamic Corp LLP,ANQOJ6890E,Ahmedabad,GJ,,9,0.9666666666666666,Exact PAN match
ENT-0057,Tech Ventures LLP,AOCKI6609G,Hyderabad,TS,,5,0.9800000000000001,Exact PAN match
ENT-0058,Balaji Fabrication Pvt Ltd,AODJS9039F,Chennai,TN,,6,1.0,Exact PAN match
ENT-0059,Om Solutions Pvt Ltd,AOPVM1436F,Delhi,DL,,5,1.0,Exact PAN match
ENT-0060,Tech Fabrication Limited,AOUMT3469G,Pune,MH,,6,0.9666666666666667,Exact PAN match
ENT-0061,Metro Fabrication Pvt Ltd,AOXMF5390H,Pune,MH,,5,1.0,Exact PAN match
ENT-0062,Shree Fabrication Limited,APAYN2919V,Mumbai,MH,,6,0.9833333333333334,Exact PAN match
ENT-0063,Sunrise Industries Pvt Ltd,APQLX9044D,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0064,Shree Corp Pvt Ltd,APSOA5812R,Pune,MH,,6,1.0,Exact PAN match
ENT-0065,Om Technologies Pvt Ltd,AQEZN1770K,Mumbai,MH,,6,1.0,Exact PAN match
ENT-0066,Shree Fabrication Pvt Ltd,AQFYR7901G,Chennai,TN,,6,1.0,Exact PAN match
ENT-0067,Stellar Fabrication Limited,AQGDE1532P,Ahmedabad,GJ,,9,0.9777777777777779,Exact PAN match
ENT-0068,Sunrise Technologies Pvt Ltd,AQGPZ3841U,Bengaluru,KA,,5,1.0,Exact PAN match
ENT-0069,Prime Ventures Pvt Ltd,AQINM6800O,Delhi,DL,,4,1.0,Exact PAN match
ENT-0070,Sunrise Solutions Pvt Ltd,AQOOP3988N,Pune,MH,,5,1.0,Exact PAN match
ENT-0071,Pioneer Fabrication Pvt Ltd,AQQRD6407Y,Ahmedabad,GJ,,7,1.0,Exact PAN match
ENT-0072,Dynamic Solutions Pvt Ltd,AQTFX8805J,pune,mh,,5,1.0,Exact PAN match
ENT-0073,Pioneer Traders LLP,AQZWR0611F,Bengaluru,KA,,8,0.9625,Exact PAN match
ENT-0074,PRIME CORP LLP,ARSPS3493O,Ahmedabad,GJ,,7,0.9571428571428572,Exact PAN match
ENT-0075,Acme Solutions LLP,ARXEO2114M,Delhi,DL,,7,0.9714285714285714,Exact PAN match
ENT-0076,Acme Solutions LLP,ASLCQ9659B,Hyderabad,TS,,7,0.9571428571428572,Exact PAN match
ENT-0077,Shree Traders Limited,ASULS7197Z,Ahmedabad,GJ,,6,0.9666666666666667,Exact PAN match
ENT-0078,Acme Corp LLP,ATACE2028T,Chennai,TN,,7,0.9714285714285714,Exact PAN match
ENT-0079,Apex Ventures LLP,ATFPY1877V,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0080,Sunrise Traders LLP,ATVIX5063A,Bengaluru,KA,,7,0.9714285714285714,Exact PAN match
ENT-0081,Global Corp Pvt Ltd,ATZZA7970O,Hyderabad,TS,,7,1.0,Exact PAN match
ENT-0082,Shree Technologies Pvt Ltd,AVFNS6637P,Chennai,TN,,5,1.0,Exact PAN match
ENT-0083,Sunrise Logistics Limited,AVFQQ1638C,Hyderabad,TS,,5,0.9800000000000001,Exact PAN match
ENT-0084,Apex Solutions LLP,AVNWT1338U,Ahmedabad,GJ,,5,0.9800000000000001,Exact PAN match
ENT-0085,Metro Traders Pvt Ltd,AVPXU7708Z,Mumbai,MH,,5,1.0,Exact PAN match
ENT-0086,Metro Solutions Limited,AVTKG1890N,Hyderabad,TS,,8,0.9875,Exact PAN match
ENT-0087,Prime Traders Pvt Ltd,AVWVR0992K,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0088,Balaji Corp LLP,AVXRI9521B,Chennai,TN,,4,1.0,Exact PAN match
ENT-0089,Dynamic Fabrication LLP,AWDIK6965W,Delhi,DL,,8,0.9875,Exact PAN match
ENT-0090,Apex Technologies Limited,AWIDB7770E,Chennai,TN,,7,0.9857142857142858,Exact PAN match
ENT-0091,STELLAR LOGISTICS LLP,AWRPX2239A,Hyderabad,TS,,8,0.9625,Exact PAN match
ENT-0092,Prime Technologies Pvt Ltd,AXEYN8467Q,Ahmedabad,GJ,,6,1.0,Exact PAN match
ENT-0093,Acme Enterprises LLP,AXOYC6327J,Delhi,DL,,7,0.9714285714285714,Exact PAN match
ENT-0094,Tech Logistics Pvt Ltd,AYQWA6686R,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0095,Shree Traders Limited,AYQZN6599A,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0096,Shree Industries LLP,AYULT6863S,Delhi,DL,,7,0.9714285714285714,Exact PAN match
ENT-0097,Prime Enterprises Limited,AYUOE6686H,Delhi,DL,,5,0.96,Exact PAN match
ENT-0098,Stellar Corp LLP,AYVNH6273H,Hyderabad,TS,,7,0.9857142857142858,Exact PAN match
ENT-0099,Dynamic Fabrication Pvt Ltd,AZHPH6238G,Delhi,DL,,5,1.0,Exact PAN match
ENT-0100,Dynamic Industries LLP,AZWYR5769O,Pune,MH,,6,1.0,Exact PAN match
ENT-0101,Acme Ventures Limited,BACPW2408A,Pune,MH,,9,0.9777777777777779,Exact PAN match
ENT-0102,Pioneer Traders Pvt Ltd,BAKAO6247S,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0103,Om Solutions Pvt Ltd,BAMIW4825L,Delhi,DL,,7,1.0,Exact PAN match
ENT-0104,Sunrise Industries LLP,BAOJX9618Z,Bengaluru,KA,,7,0.9571428571428572,Exact PAN match
ENT-0105,Stellar Fabrication LLP,BBBCN4668O,Bengaluru,KA,,8,0.975,Exact PAN match
ENT-0106,Balaji Enterprises Limited,BBFWT5111O,Delhi,DL,,8,0.9625,Exact PAN match
ENT-0107,Tech Industries LLP,BBGGA7340H,Delhi,DL,,6,0.9833333333333334,Exact PAN match
ENT-0108,APEX INDUSTRIES LIMITED,BBKFI9930U,Pune,MH,,6,0.9500000000000001,Exact PAN match
ENT-0109,PRIME SOLUTIONS LLP,BBKZV2581M,Mumbai,MH,,7,0.9571428571428572,Exact PAN match
ENT-0110,Pioneer Corp Pvt Ltd,BBMJW7501F,Chennai,TN,,4,1.0,Exact PAN match
ENT-0111,Stellar Enterprises LLP,BBNEL4628O,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0112,Pioneer Technologies Pvt Ltd,BCOYY6162I,Mumbai,MH,,5,1.0,Exact PAN match
ENT-0113,Tech Corp Limited,BDGFY3808O,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0114,Dynamic Industries Limited,BDIEY2195J,Bengaluru,KA,,5,0.9800000000000001,Exact PAN match
ENT-0115,Pioneer Enterprises LLP,BDSZT7028L,Ahmedabad,GJ,,9,0.9777777777777779,Exact PAN match
ENT-0116,Tech Technologies Pvt Ltd,BDVNQ5522E,Hyderabad,TS,,3,1.0,Exact PAN match
ENT-0117,Acme Technologies Pvt Ltd,BDWGV2692F,Chennai,TN,,4,1.0,Exact PAN match
ENT-0118,Prime Logistics Limited,BDXGC2056M,Mumbai,MH,,7,0.9857142857142858,Exact PAN match
ENT-0119,Metro Traders Pvt Ltd,BEADU6563N,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0120,Apex Ventures Pvt Ltd,BEBJS0863H,Pune,MH,,4,1.0,Exact PAN match
ENT-0121,Shree Solutions Limited,BEIMW6473H,Delhi,DL,,6,0.9666666666666667,Exact PAN match
ENT-0122,Prime Ventures Pvt Ltd,BEKXJ1327Z,Ahmedabad,GJ,,6,1.0,Exact PAN match
ENT-0123,Pioneer Traders Limited,BEPTP5151M,Delhi,DL,,9,0.9777777777777779,Exact PAN match
ENT-0124,Shree Technologies Pvt Ltd,BEQQH3286Y,Bengaluru,KA,,7,1.0,Exact PAN match
ENT-0125,Prime Fabrication Pvt Ltd,BETHE8009K,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0126,Acme Solutions Limited,BEVUH3454L,Bengaluru,KA,,8,0.9625,Exact PAN match
ENT-0127,Stellar Fabrication Pvt Ltd,BGKYQ4401U,Delhi,DL,,6,1.0,Exact PAN match
ENT-0128,Balaji Solutions Limited,BGPRD8957B,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0129,Balaji Ventures Limited,BGTIA3853A,Chennai,TN,,7,0.9857142857142858,Exact PAN match
ENT-0130,Sunrise Traders Limited,BGUFL1379X,Hyderabad,TS,,7,0.9714285714285714,Exact PAN match
ENT-0131,Balaji Logistics Limited,BHDEB0917Q,Mumbai,MH,,6,0.9666666666666667,Exact PAN match
ENT-0132,Metro Logistics Pvt Ltd,BHHOE4036L,Mumbai,MH,,7,1.0,Exact PAN match
ENT-0133,Tech Solutions LLP,BHNIS0994S,Pune,MH,,4,0.975,Exact PAN match
ENT-0134,Global Technologies Limited,BHOHD0585B,Delhi,DL,,9,0.9777777777777779,Exact PAN match
ENT-0135,Dynamic Technologies Pvt Ltd,BHQEN8294B,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0136,Stellar Industries LLP,BHQRQ0838O,Bengaluru,KA,,9,0.9666666666666666,Exact PAN match
ENT-0137,Dynamic Traders Limited,BHRGL8307R,Mumbai,MH,,6,0.9666666666666667,Exact PAN match
ENT-0138,Pioneer Enterprises Limited,BHUWS5989G,Pune,MH,,8,0.975,Exact PAN match
ENT-0139,Sunrise Enterprises Pvt Ltd,BILJG4116J,Pune,MH,,4,1.0,Exact PAN match
ENT-0140,Balaji Solutions Limited,BIRBG5171S,Hyderabad,TS,,5,0.9800000000000001,Exact PAN match
ENT-0141,Metro Fabrication Limited,BIUBR5133Q,Hyderabad,TS,,6,0.9666666666666667,Exact PAN match
ENT-0142,Stellar Fabrication LLP,BJAHQ4515Y,Chennai,TN,,8,0.975,Exact PAN match
ENT-0143,PIONEER LOGISTICS LIMITED,BJZLW0178P,Delhi,DL,,6,0.9500000000000001,Exact PAN match
ENT-0144,Om Technologies Limited,BKFNI4640K,Bengaluru,KA,,7,0.9714285714285714,Exact PAN match
ENT-0145,Shree Corp Pvt Ltd,BKGPD0530Q,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0146,Sunrise Corp LLP,BKOHD8132K,Pune,MH,,6,0.9666666666666667,Exact PAN match
ENT-0147,Om Traders Limited,BKOHP4267V,Ahmedabad,GJ,,6,0.9833333333333334,Exact PAN match
ENT-0148,Dynamic Traders LLP,BKXEP6891B,Bengaluru,KA,,6,0.9666666666666667,Exact PAN match
ENT-0149,Sunrise Technologies Pvt Ltd,BLIGD4111C,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0150,Balaji Traders LLP,BLWWR1421J,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0151,Metro Corp Limited,BMGTN3413A,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0152,Shree Corp Pvt Ltd,BMOOC1339C,Mumbai,MH,,3,1.0,Exact PAN match
ENT-0153,Pioneer Solutions LLP,BNARY1532K,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0154,Om Solutions Pvt Ltd,BNBYE8020C,Hyderabad,TS,,5,1.0,Exact PAN match
ENT-0155,Dynamic Logistics LLP,BNCNP8045H,Hyderabad,TS,,5,1.0,Exact PAN match
ENT-0156,Metro Logistics LLP,BNLIM0522D,Bengaluru,KA,,8,0.9625,Exact PAN match
ENT-0157,Shree Solutions Limited,BNLNE7552K,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0158,Stellar Logistics LLP,BNMKL0261Q,Bengaluru,KA,,5,0.9800000000000001,Exact PAN match
ENT-0159,Pioneer Solutions LLP,BNTWV4955P,Bengaluru,KA,,5,1.0,Exact PAN match
ENT-0160,METRO INDUSTRIES LLP,BNXAQ8553Z,Ahmedabad,GJ,,8,0.9625,Exact PAN match
ENT-0161,Shree Corp Pvt Ltd,BOETM9196B,Chennai,TN,,6,1.0,Exact PAN match
ENT-0162,Sunrise Ventures Pvt Ltd,BOMLR1514R,Pune,MH,,5,1.0,Exact PAN match
ENT-0163,Global Logistics Pvt Ltd,BOSVP6634O,Delhi,DL,,6,1.0,Exact PAN match
ENT-0164,Dynamic Corp Limited,BOWRJ5720E,Mumbai,MH,,9,0.9666666666666666,Exact PAN match
ENT-0165,Balaji Fabrication Limited,BPCVN9715I,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0166,Stellar Ventures LLP,BPDEK5626H,Delhi,DL,,8,0.975,Exact PAN match
ENT-0167,Metro Logistics LLP,BPEOV9924W,Bengaluru,KA,,6,0.9666666666666667,Exact PAN match
ENT-0168,Global Fabrication Limited,BPFDX1057R,Ahmedabad,GJ,,7,0.9857142857142858,Exact PAN match
ENT-0169,Sunrise Corp Limited,BPNGN6870J,Delhi,DL,,7,0.9714285714285714,Exact PAN match
ENT-0170,Acme Solutions Limited,BPNRV4387K,Ahmedabad,GJ,,6,0.9833333333333334,Exact PAN match
ENT-0171,Dynamic Corp LLP,BPUHZ8706I,Delhi,DL,,6,0.9833333333333334,Exact PAN match
ENT-0172,Stellar Ventures Pvt Ltd,BQFNG8127U,Delhi,DL,,6,1.0,Exact PAN match
ENT-0173,Metro Fabrication Limited,BQIET9318T,Delhi,DL,,7,0.9571428571428572,Exact PAN match
ENT-0174,Stellar Corp LLP,BQMQE5561F,Ahmedabad,GJ,,6,0.9833333333333334,Exact PAN match
ENT-0175,Dynamic Corp Limited,BQYUW3563H,Hyderabad,TS,,4,0.975,Exact PAN match
ENT-0176,Stellar Industries LLP,BRAKM3056R,Ahmedabad,GJ,,6,0.9666666666666667,Exact PAN match
ENT-0177,Prime Fabrication Pvt Ltd,BRBXS8761D,Bengaluru,KA,,6,1.0,Exact PAN match
ENT-0178,Dynamic Solutions Limited,BRDVV1079K,Delhi,DL,,7,0.9857142857142858,Exact PAN match
ENT-0179,Balaji Solutions Limited,BRICJ7744A,Chennai,TN,,6,0.9666666666666667,Exact PAN match
ENT-0180,Tech Logistics Pvt Ltd,BRQLD5741T,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0181,Apex Enterprises Pvt Ltd,BSARY0347G,Delhi,DL,,6,1.0,Exact PAN match
ENT-0182,Tech Logistics Limited,BSGPP6851C,Delhi,DL,,8,0.9625,Exact PAN match
ENT-0183,Shree Fabrication Pvt Ltd,BSIGJ0378F,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0184,DYNAMIC LOGISTICS LIMITED,BSOZN0422V,Delhi,DL,,6,0.9500000000000001,Exact PAN match
ENT-0185,Om Fabrication LLP,BSXXE7459J,Mumbai,MH,,7,0.9714285714285714,Exact PAN match
ENT-0186,Acme Fabrication Pvt Ltd,BTAZN4822F,Hyderabad,TS,,6,1.0,Exact PAN match
ENT-0187,Shree Fabrication Limited,BTEUR9189B,Bengaluru,KA,,6,0.9833333333333334,Exact PAN match
ENT-0188,Tech Fabrication Limited,BTIMU3173R,Pune,MH,,7,0.9571428571428572,Exact PAN match
ENT-0189,Global Logistics Pvt Ltd,BUENG6780E,Ahmedabad,GJ,,5,1.0,Exact PAN match
ENT-0190,Global Logistics LLP,BVFID2414B,Pune,MH,,6,0.9666666666666667,Exact PAN match
ENT-0191,Om Solutions Limited,BVOZU7928G,Pune,MH,,8,0.975,Exact PAN match
ENT-0192,Metro Fabrication Limited,BVYTR7420Y,Pune,MH,,7,0.9714285714285714,Exact PAN match
ENT-0193,Acme Technologies Limited,BVYUY0418L,Delhi,DL,,7,0.9714285714285714,Exact PAN match
ENT-0194,Global Enterprises Pvt Ltd,BWEXA2710D,Hyderabad,TS,,6,1.0,Exact PAN match
ENT-0195,Shree Solutions Pvt Ltd,BXFCS4495R,Pune,MH,,4,1.0,Exact PAN match
ENT-0196,Apex Traders Limited,BXPOX4876P,Pune,MH,,5,0.9800000000000001,Exact PAN match
ENT-0197,Metro Ventures Limited,BXTBU6512P,Chennai,TN,,7,0.9857142857142858,Exact PAN match
ENT-0198,Prime Solutions Limited,BXTIU7994Q,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0199,SUNRISE INDUSTRIES LIMITED,BXVME0606R,Bengaluru,KA,,7,0.9571428571428572,Exact PAN match
ENT-0200,Apex Solutions Pvt Ltd,BXVXZ7873Q,Mumbai,MH,,5,1.0,Exact PAN match
ENT-0201,Sunrise Enterprises LLP,BYQTT6509N,Chennai,TN,,9,0.9666666666666666,Exact PAN match
ENT-0202,Stellar Logistics Pvt Ltd,BYXMI3996T,Chennai,TN,,5,1.0,Exact PAN match
ENT-0203,Tech Enterprises Pvt Ltd,BZEMT5537H,Delhi,DL,,6,1.0,Exact PAN match
ENT-0204,Acme Logistics LLP,BZUEW0749Q,Ahmedabad,GJ,,5,0.9800000000000001,Exact PAN match
ENT-0205,Metro Logistics Pvt Ltd,BZYLS7110L,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0206,DYNAMIC INDUSTRIES LIMITED,CAEVG0463L,Delhi,DL,,7,0.9571428571428572,Exact PAN match
ENT-0207,Metro Industries Pvt Ltd,CAGXJ2445B,Pune,MH,,4,1.0,Exact PAN match
ENT-0208,Sunrise Enterprises Pvt Ltd,CAONC9441H,Hyderabad,TS,,6,1.0,Exact PAN match
ENT-0209,Acme Ventures LLP,CBPPR7316J,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0210,Prime Solutions Pvt Ltd,CBZUY3036R,Mumbai,MH,,4,1.0,Exact PAN match
ENT-0211,Acme Fabrication LLP,CCDNM6309G,Hyderabad,TS,,5,0.96,Exact PAN match
ENT-0212,Om Traders Limited,CCEON2283T,Chennai,TN,,7,0.9714285714285714,Exact PAN match
ENT-0213,Sunrise Ventures Pvt Ltd,CCGRK7067R,Hyderabad,TS,,7,1.0,Exact PAN match
ENT-0214,Shree Ventures LLP,CCNAX9286G,Bengaluru,KA,,7,0.9571428571428572,Exact PAN match
ENT-0215,Metro Solutions Limited,CCOEI3554P,Bengaluru,KA,,9,0.9777777777777779,Exact PAN match
ENT-0216,Metro Technologies Limited,CCOQX4778U,Chennai,TN,,6,0.9833333333333334,Exact PAN match
ENT-0217,Prime Traders Pvt Ltd,CCVEX5280W,Mumbai,MH,,5,1.0,Exact PAN match
ENT-0218,Prime Traders Pvt Ltd,CCYYP9540C,Chennai,TN,,3,1.0,Exact PAN match
ENT-0219,Metro Enterprises Limited,CDNNB1655T,Hyderabad,TS,,9,0.9666666666666666,Exact PAN match
ENT-0220,Shree Enterprises Pvt Ltd,CDRZL0521M,Bengaluru,KA,,4,1.0,Exact PAN match
ENT-0221,Sunrise Enterprises LLP,CDZLE0611R,Ahmedabad,GJ,,8,0.975,Exact PAN match
ENT-0222,Balaji Fabrication LLP,CEQYM3234O,Mumbai,MH,,7,0.9714285714285714,Exact PAN match
ENT-0223,Dynamic Technologies Pvt Ltd,CERZV1946B,Bengaluru,KA,,4,1.0,Exact PAN match
ENT-0224,Shree Enterprises Pvt Ltd,CEWBM2462L,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0225,Prime Technologies Limited,CFIQK1179Q,Chennai,TN,,10,0.97,Exact PAN match
ENT-0226,Global Logistics Pvt Ltd,CFLXF8634R,Ahmedabad,GJ,,4,1.0,Exact PAN match
ENT-0227,Dynamic Enterprises LLP,CGLOD3425H,Ahmedabad,GJ,,8,0.9625,Exact PAN match
ENT-0228,Tech Ventures Limited,CGPHM5200Q,Pune,MH,,7,0.9857142857142858,Exact PAN match
ENT-0229,Om Traders Pvt Ltd,CGPXO5167Q,Mumbai,MH,,6,1.0,Exact PAN match
ENT-0230,Pioneer Industries LLP,CGXNF4898L,Hyderabad,TS,,7,0.9714285714285714,Exact PAN match
ENT-0231,Stellar Logistics Limited,CGXTM7118K,Chennai,TN,,7,0.9714285714285714,Exact PAN match
ENT-0232,Global Technologies LLP,CGXTX3241I,Delhi,DL,,5,0.9800000000000001,Exact PAN match
ENT-0233,Prime Industries Pvt Ltd,CHBQP2531S,Bengaluru,KA,,6,1.0,Exact PAN match
ENT-0234,Stellar Enterprises LLP,CHDOO3526S,Hyderabad,TS,,8,0.9625,Exact PAN match
ENT-0235,Tech Enterprises Limited,CHRWH0285J,bengaluru,ka,,10,0.97,Exact PAN match
ENT-0236,Metro Technologies LLP,CHTNI1210Z,Pune,MH,,8,0.975,Exact PAN match
ENT-0237,Shree Technologies LLP,CIHOZ9964P,Mumbai,MH,,5,0.9800000000000001,Exact PAN match
ENT-0238,PRIME INDUSTRIES LLP,CIJHT1434N,Ahmedabad,GJ,,6,0.9500000000000001,Exact PAN match
ENT-0239,Balaji Fabrication Pvt Ltd,CIJUZ9665P,Delhi,DL,,6,1.0,Exact PAN match
ENT-0240,Balaji Traders Pvt Ltd,CITZR6112P,Delhi,DL,,6,1.0,Exact PAN match
ENT-0241,Tech Traders LLP,CIWLX3634G,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0242,Global Fabrication LLP,CIXLI1812E,Ahmedabad,GJ,,7,0.9714285714285714,Exact PAN match
ENT-0243,Om Logistics Pvt Ltd,CIYYD1961V,Chennai,TN,,4,1.0,Exact PAN match
ENT-0244,Stellar Corp Pvt Ltd,CJBBC0635E,Hyderabad,TS,,4,1.0,Exact PAN match
ENT-0245,Prime Corp Pvt Ltd,CJELZ4837F,Bengaluru,KA,,3,1.0,Exact PAN match
ENT-0246,Pioneer Corp LLP,CJFLV3491M,Hyderabad,TS,,5,0.9800000000000001,Exact PAN match
ENT-0247,Shree Corp Limited,CJGXT3058J,Mumbai,MH,,8,0.975,Exact PAN match
ENT-0248,Metro Traders LLP,CJHPL5348H,chennai,tn,,7,0.9571428571428572,Exact PAN match
