unified_entity_id,canonical_name,pan,city,state,pincode,source_system_count,source_record_ids
ENT-0049,Global Solutions Pvt Ltd,ALRVT1911J,Unknown,Unknown,,5,CIN-470849|EPF-656953|ESI-636017|GSTIN-470778|PAN_REG-531676
ENT-0050,Tech Corp Pvt Ltd,ALSZW5941A,Unknown,Unknown,,4,CIN-268623|EPF-832696|GSTIN-790752|PAN_REG-379090
ENT-0051,Tech Corp Limited,AMDYR8409C,Unknown,Unknown,,4,CIN-729848|EPF-858138|IEC-918440|PAN_REG-605174
ENT-0052,Shree Logistics Pvt Ltd,ANBOM7048U,Unknown,Unknown,,4,CIN-371950|EPF-261015|GSTIN-246850|PAN_REG-18304
ENT-0053,Balaji Enterprises LLP,ANLDD4797G,Unknown,Unknown,,5,CIN-233899|EPF-512332|GSTIN-715379|PAN_REG-535663|UDYAM-718000
ENT-0054,Metro Corp Pvt Ltd,ANONE8697C,Unknown,Unknown,,5,CIN-421611|EPF-739233|ESI-440492|GSTIN-149962|PAN_REG-189383
ENT-0055,Stellar Corp Pvt Ltd,ANONP3560B,Unknown,Unknown,,5,EPF-375664|ESI-36931|GSTIN-76554|PAN_REG-870149|UDYAM-203130
ENT-0056,Dynamic Corp LLP,ANQOJ6890E,Unknown,Unknown,,6,EPF-65099|ESI-762743|GSTIN-992351|IEC-80406|PAN_REG-321112|UDYAM-683481
ENT-0057,Tech Ventures LLP,AOCKI6609G,Unknown,Unknown,,4,CIN-70598|ESI-295023|PAN_REG-591657|UDYAM-891242
ENT-0058,Balaji Fabrication Pvt Ltd,AODJS9039F,Unknown,Unknown,,6,CIN-408845|EPF-660748|ESI-717032|GSTIN-907709|PAN_REG-396492|UDYAM-140961
ENT-0059,Om Solutions Pvt Ltd,AOPVM1436F,Unknown,Unknown,,5,CIN-721330|EPF-288999|ESI-952323|GSTIN-730666|PAN_REG-444639
ENT-0060,Tech Fabrication Limited,AOUMT3469G,Unknown,Unknown,,4,CIN-180869|ESI-196817|GSTIN-872839|PAN_REG-268177
ENT-0061,Metro Fabrication Pvt Ltd,AOXMF5390H,Unknown,Unknown,,5,CIN-733523|ESI-863766|GSTIN-297443|IEC-770195|PAN_REG-62250
ENT-0062,Shree Fabrication Limited,APAYN2919V,Unknown,Unknown,,5,CIN-180102|EPF-533670|ESI-194851|GSTIN-318533|PAN_REG-99032
ENT-0063,Sunrise Industries Pvt Ltd,APQLX9044D,Unknown,Unknown,,5,CIN-798520|EPF-859163|ESI-577839|GSTIN-645124|PAN_REG-364506
ENT-0064,Shree Corp Pvt Ltd,APSOA5812R,Unknown,Unknown,,6,CIN-223589|EPF-562896|ESI-622579|GSTIN-255925|PAN_REG-153199|UDYAM-748590
ENT-0065,Om Technologies Pvt Ltd,AQEZN1770K,Unknown,Unknown,,6,CIN-631674|EPF-184644|ESI-816881|GSTIN-333073|PAN_REG-990611|UDYAM-388126
ENT-0066,Shree Fabrication Pvt Ltd,AQFYR7901G,Unknown,Unknown,,6,CIN-319989|EPF-908751|ESI-43171|GSTIN-915039|PAN_REG-581032|UDYAM-293858
ENT-0067,Stellar Fabrication Limited,AQGDE1532P,Unknown,Unknown,,7,CIN-232870|EPF-445507|ESI-218788|GSTIN-992285|IEC-280525|PAN_REG-291869|UDYAM-254525
ENT-0068,Sunrise Technologies Pvt Ltd,AQGPZ3841U,Unknown,Unknown,,5,CIN-402799|ESI-416756|GSTIN-732428|PAN_REG-194887|UDYAM-304434
ENT-0069,Prime Ventures Pvt Ltd,AQINM6800O,Unknown,Unknown,,4,CIN-763737|ESI-966561|GSTIN-55648|PAN_REG-215052
ENT-0070,Sunrise Solutions Pvt Ltd,AQOOP3988N,Unknown,Unknown,,5,CIN-633065|GSTIN-827073|IEC-959675|PAN_REG-919306|UDYAM-970238
ENT-0071,Pioneer Fabrication Pvt Ltd,AQQRD6407Y,Unknown,Unknown,,7,CIN-94727|EPF-69048|ESI-537769|GSTIN-866335|IEC-704954|PAN_REG-625262|UDYAM-419033
ENT-0072,Dynamic Solutions Pvt Ltd,AQTFX8805J,Unknown,Unknown,,5,CIN-346297|EPF-280886|ESI-744649|PAN_REG-456057|UDYAM-517860
ENT-0073,Pioneer Traders LLP,AQZWR0611F,Unknown,Unknown,,5,CIN-585113|ESI-708504|GSTIN-415972|PAN_REG-199738|UDYAM-589993
ENT-0074,Prime Corp LLP,ARSPS3493O,Unknown,Unknown,,4,CIN-304634|ESI-206042|GSTIN-924025|PAN_REG-86532
ENT-0075,Acme Solutions LLP,ARXEO2114M,Unknown,Unknown,,5,CIN-186415|EPF-618196|ESI-399405|GSTIN-840408|PAN_REG-296914
ENT-0076,Acme Solutions LLP,ASLCQ9659B,Unknown,Unknown,,4,CIN-334801|EPF-696374|GSTIN-151486|PAN_REG-996803
ENT-0077,Shree Traders Limited,ASULS7197Z,Unknown,Unknown,,4,CIN-20127|GSTIN-860318|PAN_REG-843237|UDYAM-708981
ENT-0078,Acme Corp LLP,ATACE2028T,Unknown,Unknown,,5,CIN-867556|EPF-437245|ESI-360975|GSTIN-87657|PAN_REG-910071
ENT-0079,Apex Ventures LLP,ATFPY1877V,Unknown,Unknown,,5,CIN-327409|ESI-216277|GSTIN-648218|PAN_REG-247516|UDYAM-22928
ENT-0080,Sunrise Traders LLP,ATVIX5063A,Unknown,Unknown,,5,CIN-224137|ESI-309648|GSTIN-296435|PAN_REG-691011|UDYAM-801906
ENT-0081,Global Corp Pvt Ltd,ATZZA7970O,Unknown,Unknown,,7,CIN-580959|EPF-312247|ESI-647695|GSTIN-804609|IEC-697173|PAN_REG-633949|UDYAM-200844
ENT-0082,Shree Technologies Pvt Ltd,AVFNS6637P,Unknown,Unknown,,5,CIN-51039|EPF-863309|GSTIN-368728|PAN_REG-571064|UDYAM-143333
ENT-0083,Sunrise Logistics Limited,AVFQQ1638C,Unknown,Unknown,,4,EPF-970859|ESI-653373|GSTIN-944086|PAN_REG-674970
ENT-0084,Apex Solutions LLP,AVNWT1338U,Unknown,Unknown,,4,CIN-519681|EPF-344022|GSTIN-499630|PAN_REG-346349
ENT-0085,Metro Traders Pvt Ltd,AVPXU7708Z,Unknown,Unknown,,5,CIN-380101|EPF-547898|ESI-836558|GSTIN-215645|PAN_REG-74766
ENT-0086,Metro Solutions Limited,AVTKG1890N,Unknown,Unknown,,7,CIN-286213|EPF-468874|ESI-703180|GSTIN-703186|IEC-529868|PAN_REG-690396|UDYAM-827652
ENT-0087,Prime Traders Pvt Ltd,AVWVR0992K,Unknown,Unknown,,5,CIN-817677|EPF-266607|ESI-607298|GSTIN-402764|PAN_REG-639795
ENT-0088,Balaji Corp LLP,AVXRI9521B,Unknown,Unknown,,4,CIN-858401|GSTIN-80843|IEC-568094|PAN_REG-820603
ENT-0089,Dynamic Fabrication LLP,AWDIK6965W,Unknown,Unknown,,7,CIN-569712|EPF-691044|ESI-111817|GSTIN-594510|IEC-106192|PAN_REG-963377|UDYAM-712781
ENT-0090,Apex Technologies Limited,AWIDB7770E,Unknown,Unknown,,6,CIN-919866|EPF-21161|ESI-777598|GSTIN-307353|IEC-55643|PAN_REG-547221
ENT-0091,Stellar Logistics LLP,AWRPX2239A,Unknown,Unknown,,5,CIN-701207|EPF-509009|ESI-109844|GSTIN-587360|PAN_REG-629330
ENT-0092,Prime Technologies Pvt Ltd,AXEYN8467Q,Unknown,Unknown,,6,CIN-314243|EPF-995537|ESI-463546|GSTIN-30217|PAN_REG-676931|UDYAM-977822
ENT-0093,Acme Enterprises LLP,AXOYC6327J,Unknown,Unknown,,5,CIN-98296|GSTIN-26711|IEC-899982|PAN_REG-390310|UDYAM-638036
ENT-0094,Tech Logistics Pvt Ltd,AYQWA6686R,Unknown,Unknown,,4,CIN-400499|EPF-429516|GSTIN-817907|UDYAM-688751
ENT-0095,Shree Traders Limited,AYQZN6599A,Unknown,Unknown,,6,CIN-582754|EPF-360605|GSTIN-936620|IEC-50498|PAN_REG-315864|UDYAM-510064
ENT-0096,Shree Industries LLP,AYULT6863S,Unknown,Unknown,,5,CIN-914686|EPF-496048|ESI-631951|GSTIN-307864|PAN_REG-55013
ENT-0097,Prime Enterprises Limited,AYUOE6686H,Unknown,Unknown,,3,EPF-39112|GSTIN-252309|PAN_REG-565307
ENT-0098,Stellar Corp LLP,AYVNH6273H,Unknown,Unknown,,6,CIN-217413|EPF-811153|GSTIN-610466|IEC-361871|PAN_REG-146970|UDYAM-481183
ENT-0099,Dynamic Fabrication Pvt Ltd,AZHPH6238G,Unknown,Unknown,,5,CIN-606004|EPF-638753|ESI-592919|GSTIN-224896|PAN_REG-86669
ENT-0100,Dynamic Industries LLP,AZWYR5769O,Unknown,Unknown,,6,CIN-957545|EPF-877643|GSTIN-663231|IEC-789088|PAN_REG-310956|UDYAM-57177
ENT-0101,Acme Ventures Limited,BACPW2408A,Unknown,Unknown,,7,CIN-305956|EPF-707889|ESI-599299|GSTIN-768978|IEC-50633|PAN_REG-149259|UDYAM-759698
ENT-0102,Pioneer Traders Pvt Ltd,BAKAO6247S,Unknown,Unknown,,4,CIN-544214|ESI-111991|PAN_REG-713461|UDYAM-704750
ENT-0103,Om Solutions Pvt Ltd,BAMIW4825L,Unknown,Unknown,,7,CIN-393770|EPF-615016|ESI-153756|GSTIN-168314|IEC-422255|PAN_REG-809067|UDYAM-709851
ENT-0104,Sunrise Industries LLP,BAOJX9618Z,Unknown,Unknown,,4,CIN-186756|EPF-11095|GSTIN-956454|PAN_REG-475994
ENT-0105,Stellar Fabrication LLP,BBBCN4668O,Unknown,Unknown,,6,CIN-558844|EPF-799031|GSTIN-681463|IEC-10081|PAN_REG-66001|UDYAM-516836
ENT-0106,Balaji Enterprises Limited,BBFWT5111O,Unknown,Unknown,,5,CIN-140788|EPF-830380|ESI-984394|GSTIN-741541|PAN_REG-583415
ENT-0107,Tech Industries LLP,BBGGA7340H,Unknown,Unknown,,5,CIN-519328|EPF-748187|GSTIN-672793|PAN_REG-934983|UDYAM-135418
ENT-0108,Apex Industries Limited,BBKFI9930U,Unknown,Unknown,,3,CIN-702906|ESI-508497|PAN_REG-792567
ENT-0109,Prime Solutions LLP,BBKZV2581M,Unknown,Unknown,,4,CIN-456804|EPF-54824|ESI-673736|PAN_REG-896820
ENT-0110,Pioneer Corp Pvt Ltd,BBMJW7501F,Unknown,Unknown,,4,CIN-52421|EPF-837546|GSTIN-739134|PAN_REG-724407
ENT-0111,Stellar Enterprises LLP,BBNEL4628O,Unknown,Unknown,,6,CIN-225481|EPF-611539|ESI-843296|IEC-580692|PAN_REG-52539|UDYAM-785468
ENT-0112,Pioneer Technologies Pvt Ltd,BCOYY6162I,Unknown,Unknown,,5,CIN-158950|ESI-845226|GSTIN-620387|PAN_REG-615487|UDYAM-873588
ENT-0113,Tech Corp Limited,BDGFY3808O,Unknown,Unknown,,5,CIN-387647|EPF-763097|ESI-991416|GSTIN-132752|PAN_REG-370834
ENT-0114,Dynamic Industries Limited,BDIEY2195J,Unknown,Unknown,,4,CIN-772192|EPF-892788|ESI-794043|PAN_REG-751540
ENT-0115,Pioneer Enterprises LLP,BDSZT7028L,Unknown,Unknown,,7,CIN-29815|EPF-758365|ESI-927172|GSTIN-738098|IEC-840501|PAN_REG-681896|UDYAM-202087
ENT-0116,Tech Technologies Pvt Ltd,BDVNQ5522E,Unknown,Unknown,,3,CIN-460833|EPF-561652|PAN_REG-920781
ENT-0117,Acme Technologies Pvt Ltd,BDWGV2692F,Unknown,Unknown,,4,CIN-121564|ESI-365537|PAN_REG-63606|UDYAM-770874
ENT-0118,Prime Logistics Limited,BDXGC2056M,Unknown,Unknown,,6,CIN-417270|EPF-558864|ESI-171933|GSTIN-296644|PAN_REG-16190|UDYAM-497872
ENT-0119,Metro Traders Pvt Ltd,BEADU6563N,Unknown,Unknown,,4,CIN-129291|EPF-469918|GSTIN-521658|PAN_REG-857777
ENT-0120,Apex Ventures Pvt Ltd,BEBJS0863H,Unknown,Unknown,,4,EPF-880203|ESI-506892|GSTIN-382058|PAN_REG-714995
ENT-0121,Shree Solutions Limited,BEIMW6473H,Unknown,Unknown,,4,CIN-514790|EPF-520492|ESI-130321|PAN_REG-162486
ENT-0122,Prime Ventures Pvt Ltd,BEKXJ1327Z,Unknown,Unknown,,6,CIN-641268|EPF-236544|ESI-971632|GSTIN-77746|PAN_REG-754256|UDYAM-857577
ENT-0123,Pioneer Traders Limited,BEPTP5151M,Unknown,Unknown,,7,CIN-908374|EPF-632868|ESI-244642|GSTIN-596456|IEC-203433|PAN_REG-588726|UDYAM-640234
ENT-0124,Shree Technologies Pvt Ltd,BEQQH3286Y,Unknown,Unknown,,7,CIN-240365|EPF-549520|ESI-909184|GSTIN-608828|IEC-898970|PAN_REG-473892|UDYAM-360519
ENT-0125,Prime Fabrication Pvt Ltd,BETHE8009K,Unknown,Unknown,,4,CIN-779623|GSTIN-105543|PAN_REG-629550|UDYAM-46803
ENT-0126,Acme Solutions Limited,BEVUH3454L,Unknown,Unknown,,5,CIN-851171|EPF-649086|GSTIN-869501|IEC-641391|PAN_REG-537937
ENT-0127,Stellar Fabrication Pvt Ltd,BGKYQ4401U,Unknown,Unknown,,6,CIN-764318|EPF-445113|ESI-229087|GSTIN-971943|PAN_REG-412631|UDYAM-44697
ENT-0128,Balaji Solutions Limited,BGPRD8957B,Unknown,Unknown,,6,CIN-527320|EPF-438470|ESI-65898|GSTIN-953650|IEC-694240|PAN_REG-179620
ENT-0129,Balaji Ventures Limited,BGTIA3853A,Unknown,Unknown,,6,CIN-982935|EPF-63454|ESI-932602|GSTIN-706236|PAN_REG-790326|UDYAM-446010
ENT-0130,Sunrise Traders Limited,BGUFL1379X,Unknown,Unknown,,5,CIN-116272|EPF-614595|ESI-803446|GSTIN-242968|IEC-667250
ENT-0131,Balaji Logistics Limited,BHDEB0917Q,Unknown,Unknown,,4,CIN-617479|EPF-657880|GSTIN-996183|PAN_REG-616721
ENT-0132,Metro Logistics Pvt Ltd,BHHOE4036L,Unknown,Unknown,,7,CIN-789963|EPF-72166|ESI-74474|GSTIN-663439|IEC-912234|PAN_REG-403113|UDYAM-479646
ENT-0133,Tech Solutions LLP,BHNIS0994S,Unknown,Unknown,,3,EPF-994673|GSTIN-384328|PAN_REG-875701
ENT-0134,Global Technologies Limited,BHOHD0585B,Unknown,Unknown,,7,CIN-989781|EPF-648650|ESI-254747|GSTIN-952947|IEC-580274|PAN_REG-777310|UDYAM-282824
ENT-0135,Dynamic Technologies Pvt Ltd,BHQEN8294B,Unknown,Unknown,,5,CIN-625835|EPF-89621|GSTIN-628247|PAN_REG-195039|UDYAM-33010
ENT-0136,Stellar Industries LLP,BHQRQ0838O,Unknown,Unknown,,6,CIN-880383|EPF-863721|ESI-622934|GSTIN-971104|PAN_REG-409184|UDYAM-645137
ENT-0137,Dynamic Traders Limited,BHRGL8307R,Unknown,Unknown,,4,CIN-365854|EPF-105191|GSTIN-673385|PAN_REG-740653
ENT-0138,Pioneer Enterprises Limited,BHUWS5989G,Unknown,Unknown,,6,CIN-744997|EPF-543571|GSTIN-953939|IEC-307367|PAN_REG-357711|UDYAM-380525
ENT-0139,Sunrise Enterprises Pvt Ltd,BILJG4116J,Unknown,Unknown,,4,CIN-991908|ESI-426648|GSTIN-593034|PAN_REG-871560
ENT-0140,Balaji Solutions Limited,BIRBG5171S,Unknown,Unknown,,4,CIN-961914|GSTIN-630895|PAN_REG-650368|UDYAM-21616
ENT-0141,Metro Fabrication Limited,BIUBR5133Q,Unknown,Unknown,,4,CIN-34638|ESI-280514|GSTIN-225567|PAN_REG-364910
ENT-0142,Stellar Fabrication LLP,BJAHQ4515Y,Unknown,Unknown,,6,CIN-194726|EPF-384580|ESI-947300|GSTIN-795460|PAN_REG-520188|UDYAM-672456
ENT-0143,Pioneer Logistics Limited,BJZLW0178P,Unknown,Unknown,,3,CIN-318955|GSTIN-558478|PAN_REG-627550
ENT-0144,Om Technologies Limited,BKFNI4640K,Unknown,Unknown,,5,CIN-195026|EPF-967533|ESI-862866|IEC-569448|PAN_REG-62690
ENT-0145,Shree Corp Pvt Ltd,BKGPD0530Q,Unknown,Unknown,,4,CIN-376130|GSTIN-141306|PAN_REG-819666|UDYAM-589258
ENT-0146,Sunrise Corp LLP,BKOHD8132K,Unknown,Unknown,,4,CIN-851111|EPF-699299|GSTIN-793426|PAN_REG-442081
ENT-0147,Om Traders Limited,BKOHP4267V,Unknown,Unknown,,5,CIN-853014|GSTIN-295897|IEC-91983|PAN_REG-782579|UDYAM-658729
ENT-0148,Dynamic Traders LLP,BKXEP6891B,Unknown,Unknown,,4,CIN-158872|EPF-325478|GSTIN-454338|PAN_REG-553094
ENT-0149,Sunrise Technologies Pvt Ltd,BLIGD4111C,Unknown,Unknown,,5,CIN-673710|ESI-649380|GSTIN-631877|PAN_REG-812006|UDYAM-954036
ENT-0150,Balaji Traders LLP,BLWWR1421J,Unknown,Unknown,,5,CIN-557771|EPF-200439|GSTIN-670891|PAN_REG-801646|UDYAM-147372
ENT-0151,Metro Corp Limited,BMGTN3413A,Unknown,Unknown,,4,CIN-213040|GSTIN-423007|IEC-977209|PAN_REG-370255
ENT-0152,Shree Corp Pvt Ltd,BMOOC1339C,Unknown,Unknown,,3,CIN-925115|PAN_REG-57074|UDYAM-472574
ENT-0153,Pioneer Solutions LLP,BNARY1532K,Unknown,Unknown,,5,CIN-192323|EPF-370549|GSTIN-93213|PAN_REG-555513|UDYAM-888955
ENT-0154,Om Solutions Pvt Ltd,BNBYE8020C,Unknown,Unknown,,5,CIN-46277|EPF-888245|GSTIN-844537|PAN_REG-406705|UDYAM-102192
ENT-0155,Dynamic Logistics LLP,BNCNP8045H,Unknown,Unknown,,5,CIN-996623|ESI-71241|GSTIN-22455|PAN_REG-319528|UDYAM-807051
ENT-0156,Metro Logistics LLP,BNLIM0522D,Unknown,Unknown,,5,CIN-881777|EPF-198303|ESI-741527|PAN_REG-732479|UDYAM-925958
ENT-0157,Shree Solutions Limited,BNLNE7552K,Unknown,Unknown,,5,CIN-120113|EPF-132360|ESI-40619|GSTIN-760332|IEC-314087
ENT-0158,Stellar Logistics LLP,BNMKL0261Q,Unknown,Unknown,,4,CIN-180417|IEC-311745|PAN_REG-167014|UDYAM-314647
ENT-0159,Pioneer Solutions LLP,BNTWV4955P,Unknown,Unknown,,5,CIN-661857|ESI-790150|GSTIN-805024|IEC-917458|PAN_REG-305788
ENT-0160,Metro Industries LLP,BNXAQ8553Z,Unknown,Unknown,,5,CIN-19310|ESI-660854|GSTIN-936368|PAN_REG-478472|UDYAM-702369
ENT-0161,Shree Corp Pvt Ltd,BOETM9196B,Unknown,Unknown,,6,CIN-376124|EPF-265665|ESI-118897|GSTIN-400579|PAN_REG-311546|UDYAM-352547
ENT-0162,Sunrise Ventures Pvt Ltd,BOMLR1514R,Unknown,Unknown,,5,CIN-542141|EPF-880952|GSTIN-885839|PAN_REG-219602|UDYAM-27581
ENT-0163,Global Logistics Pvt Ltd,BOSVP6634O,Unknown,Unknown,,6,CIN-373595|EPF-459525|ESI-841542|GSTIN-564879|PAN_REG-429156|UDYAM-208306
ENT-0164,Dynamic Corp Limited,BOWRJ5720E,Unknown,Unknown,,6,CIN-985917|EPF-954169|GSTIN-316956|IEC-22559|PAN_REG-834284|UDYAM-661319
ENT-0165,Balaji Fabrication Limited,BPCVN9715I,Unknown,Unknown,,5,CIN-348702|ESI-320505|GSTIN-207877|PAN_REG-185374|UDYAM-434591
ENT-0166,Stellar Ventures LLP,BPDEK5626H,Unknown,Unknown,,6,CIN-982111|EPF-642392|ESI-536473|GSTIN-617625|PAN_REG-318868|UDYAM-913371
ENT-0167,Metro Logistics LLP,BPEOV9924W,Unknown,Unknown,,4,CIN-650115|EPF-264620|GSTIN-953167|PAN_REG-544829
